name,ingredients,text
Густой молочно-клубничный коктейль,"['Молоко', 'Клубника', 'Сахар']","Не размораживая, ягоду положите в блендер, добавьте молоко и сахар (если ягода свежая, то и перепелиное яйцо) Взбивайте на высокой скорости до полного измельчения ягод. Вылете в стаканы и можно по чуть-чуть пить, так как этот напиток оочень холодный. Кто не любит таковой, подождите и выпейте, когда он немного согреется. Приятного аппетита!"
Рулетики,"['Сыр твердый', 'Чеснок', 'Яйцо куриное', 'Грейпфрут', 'Лук зеленый', 'Листья салата', 'Майонез']","Разобрать салат на отдельные листочки, помыть и просушить. Натереть на крупной терке сыр, яйца, выдавить через чесночницу чеснок. Лук порезать. Несколько долек грейпфрута очистить от пленок, нарезать на мелкие кусочки. Яйца отварить, почистить и мелко нарубить. Смешать все с майонезом. Выложить на листья салата и завернуть каждый в рулетик."
"Салат ""Баклажанчик""","['Баклажан', 'Лук репчатый', 'Помидор', 'Чеснок', 'Соль', 'Майонез', 'Перец черный']","Баклажаны очищаем от кожицы. Нарезаем кружочками. Лук нарезаем кубиками и обжариваем. Баклажаны тоже обжариваем на растительном масле. Даем стечь лишнему жиру. Помидоры нарезаем кубиками, добавляем чеснок, специи. Все смешиваем и заправляем майонезом."
Куриные котлеты с картофельным пюре в духовке,"['Фарш куриный', 'Пюре картофельное', 'Желток яичный', 'Лук репчатый', 'Сыр твердый', 'Молоко', 'Масло сливочное', 'Зелень', 'Приправа', 'Масло растительное']","Шаг 1. Ставим отваривать картофель в чуть подсоленную воду. Затем измельчаем лук, натираем на крупной овощной терке сыр, нарезаем мелко зелень и откладываем в сторону. В это время обжариваем лук и оставляем на сковороде. Шаг 2. Картофель разминаем в пюре, добавляя сливочное масло, молоко, приправы и соль. А затем добавляем зелень, половину порции сыра и вновь перемешиваем. Когда картофельное пюре немного остынет добавляем один желток, перемешиваем. Шаг 3. В фарш добавляем обжаренный лук. Приступаем к сборке. В это время можно ставить духовку прогреваться на 180 градусов. Форму смазываем сливочным или растительным маслом, выдавливаем из кондитерского мешка или плотного пакета небольшие колобки картофельного пюре, можно также наловчиться и отсаживать пюре столовой ложкой. Делаем углубление и выкладываем фарш 1-2 ст. ложки. Отправляем запекаться в духовку на 30 минут. Вынимаем, посыпаем блюдо оставшимся сыром и вновь убираем в духовку до полного расплавления сыра. Блюдо готово! Всем приятного аппетита!"
Рецепт вишневой наливки,"['Вишня', 'Водка', 'Сахар', 'Кости', 'Корица', 'Гвоздика']","В бутыль заложить вишни, косточки, пряности и залить водкой, настаивать 2 недели в темном месте, помешивая. После, отфильтровать, вишни отжать, добавить сахара и еще настоять полторы -2 недели в темном месте, время от времени встряхивая банку. Когда сахара раствориться, и выпадет осадок, вишневая наливка готова."
Песочный пирог с тыквенным суфле,"['Масло сливочное', 'Сахар', 'Яйцо куриное', 'Мука пшеничная', 'Вода', 'Тыква', 'Молоко сгущенное', 'Корица', 'Орех мускатный', 'Крахмал', 'Сахарная пудра']","Для пирога тыкву нужно запечь в духовке. Разрезала тыкву, вынула семечки. И половину ещё разрезала пополам. Вот 2 четвертушки я и запеку 10 минут при Т-170 С. Пока тыква запекается, делаем тесто. Для замеса теста и заливки пирога я буду использовать комбайн (блендер, измельчитель). В чашу выложила всё сразу: сахар; масло; муку; яйцо и воду. Всё разбила в крошку. Руками обмяла, тесто чудесное и к рукам не пристаёт. Сформировала лепёшку и выложила в форму D-18,5 см. Она у меня разовая и подмазки не требует. Можно взять любую форму и обмазать её маслом, если она этого требует. Сформировала руками бортики (придала вид тарелки). Поставила в холодильник на 30 минут. В чашу комбайна (блендера) выгребаем ложкой мякоть тыквы, освобождая от кожуры. Выкладываем сгущённое молоко, корицу, мускатный орех, крахмал и яйцо. Всё разбиваем в однородную массу. Вынимаем форму с тестом из холодильника и выкладываем тыквенную массу. Ставим в духовку разогретую до Т-180 С на 30 минут. Ориентируйтесь на свою духовку! Пирог готов. Даём ему полностью остыть. Я украшу пирог кленовым листком и вырежу трафарет его из бумаги. Готовый остывший пирог присыпаем сахарной пудрой, выложив трафарет листа. Убираем аккуратно трафарет. Получилась осенняя красота! Завариваем чай, нарезаем пирог на куски. Подаём по кусочку! Осень. В доме уютно и тепло, пахнет вкусной тыквенной осенней выпечкой. Если у вас большая семья, то сделайте большой пирог, увеличив количество всех ингредиентов в 2 раза!"
Шоколадные конфеты ручной работы,"['Какао-масло', 'Какао тертое', 'Сироп кленовый', 'Ваниль']","Натереть на крупной терке какао-масло. Растопить его на паровой бане, поставив емкость в кастрюлю с начинающей закипать водой таким образом, чтобы донышко емкости с какао-маслом не касалось воды. Огонь убавить до минимального. Температура какао-масла не должна превышать 40 градусов. Когда масло растопится, добавить мякоть половины стручка ванили и перемешать. Добавить какао тертое. Слегка помешивать массу до полного растворения какао, а затем влить сироп агавы (или топинамбура). Если будете использовать мед, он обязательно должен быть высокого качества. Нельзя использовать засахаренный мёд, так как при соединении с какао-массой может пойти зернистость. Хорошо перемешать получившуюся массу и наполнить ей кулинарный мешок для того, чтобы было удобнее заполнять формочки. Распределить массу по формочкам, которые необходимо поставить на жесткую подставку. Можно добавить любые наполнители: лепестки миндаля, орехи, вяленые ягоды, цукаты, положив их сверху и чайной ложкой слегка ""притопив"" в шоколад. Остудить при комнатной температуре и поместить в холодильник. Вот и все. Конфетки готовы. Можно заваривать чай или кофе и лакомиться. Угощайтесь, на здоровье! Вот эти конфетки у меня были с вяленой вишней и лепестками миндаля. А это вариант для детишек. Для вкусных сладостей всегда найдется место, Теперь и повод есть, чтоб их Вам подарить, На стол поставить, сразу съесть — здесь все уместно, Пусть также сладко будет Вам и жить! С наступающими вас всех Новогодними и Рождественскими праздниками!"
Рыбно-тыквенный гратен,"['Масло растительное', 'Рыба', 'Тыква', 'Лук репчатый', 'Мука пшеничная', 'Молоко', 'Сливки', 'Масло сливочное', 'Сыр голландский', 'Вино белое полусухое', 'Соль', 'Перец черный']","Ингредиенты. Лук и тыкву мелко режем. На сковороду наливаем масло и добавляем сливочное. Нагреваем и кладем наши порезанные овощи. Обжариваем до готовности. Добавляем муку и жарим еще примерно 2 мин. Затем снимаем с огня и быстро мешая вливаем молоко. Добавляем вино (если не хотите его использовать, просто увеличите количество молока) и ставим на огонь, все время помешивая до закипания. Вливаем сливки, снова мешая доводим до кипения и снимаем. В соус кладем нашу рыбу, разделанную на не большие кусочки. Перемешать, поперчить и посолить. Раскладываем по формочкам ( примерно 6 шт.) или в одну большую. Уверяю вкус от этого не изменится. Посыпаем с верху тертым сыром. Выпекаем при t=180 примерно 15 мин. Подаем сразу. ПРИЯТНОГО АППЕТИТА!!! Этот рецепт - участник акции ""Готовим вместе - кулинарная неделя"". Обсуждение приготовления на форуме - http://forum.povarenok.ru/viewtopic.php?f=34&t=6560"
"Плов с креветками из риса ""Басмати""","['Рис', 'Вода', 'Морковь', 'Лук репчатый', 'Морепродукты', 'Карри', 'Приправа', 'Соль', 'Масло подсолнечное']","Соль по вкусу. Очищаем и нарезаем лук и морковь. Доводим лук до прозрачного состояния. Добавляем морковь и тушим 5 минут. Добавляем креветки. Тушим не боле 2 минут. Промываем рис. Равномерно выкладываем в кастрюлю или сковороду. Заливаем водой. Закрываем крышку и на среднем огне тушим 15 минут. После перемешиваем и добавляем соль и приправы. Томатная паста по вкусу. Вуаля плов готов! Хотела бы добавить, очень гармонично сочетается с пловом болгарский перец и помидор. А куркума и шафран добавил бы пряную нотку в блюдо."
Картошечка с грибами,"['Картофель', 'Сало', 'Грибы', 'Зелень', 'Лук репчатый', 'Чеснок', 'Соль', 'Перец черный', 'Масло растительное']","Грибы (можно брать любые) обжарить на растительном масле с луком и чесноком,посолить,поперчить,на другой сковороде обжарить тонко нарезаное сало,(по желанию можно еще добавить лук обжариваться),добавить почищеную и порезаную картошку, добавить грибы, и обжарить до готовности,посолить,поперчить,добавить порезаную зелень. Приятного аппетита!"
